Emotions,Path
male-neutral,audio_speech_emotion/Actor_01/03-01-01-01-01-01-01.wav
male-neutral,audio_speech_emotion/Actor_01/03-01-01-01-01-02-01.wav
male-neutral,audio_speech_emotion/Actor_01/03-01-01-01-02-01-01.wav
male-neutral,audio_speech_emotion/Actor_01/03-01-01-01-02-02-01.wav
male-calm,audio_speech_emotion/Actor_01/03-01-02-01-01-01-01.wav
male-calm,audio_speech_emotion/Actor_01/03-01-02-01-01-02-01.wav
male-calm,audio_speech_emotion/Actor_01/03-01-02-01-02-01-01.wav
male-calm,audio_speech_emotion/Actor_01/03-01-02-01-02-02-01.wav
male-calm,audio_speech_emotion/Actor_01/03-01-02-02-01-01-01.wav
male-calm,audio_speech_emotion/Actor_01/03-01-02-02-01-02-01.wav
male-calm,audio_speech_emotion/Actor_01/03-01-02-02-02-01-01.wav
male-calm,audio_speech_emotion/Actor_01/03-01-02-02-02-02-01.wav
male-happy,audio_speech_emotion/Actor_01/03-01-03-01-01-01-01.wav
male-happy,audio_speech_emotion/Actor_01/03-01-03-01-01-02-01.wav
male-happy,audio_speech_emotion/Actor_01/03-01-03-01-02-01-01.wav
male-happy,audio_speech_emotion/Actor_01/03-01-03-01-02-02-01.wav
male-happy,audio_speech_emotion/Actor_01/03-01-03-02-01-01-01.wav
male-happy,audio_speech_emotion/Actor_01/03-01-03-02-01-02-01.wav
male-happy,audio_speech_emotion/Actor_01/03-01-03-02-02-01-01.wav
male-happy,audio_speech_emotion/Actor_01/03-01-03-02-02-02-01.wav
male-sad,audio_speech_emotion/Actor_01/03-01-04-01-01-01-01.wav
male-sad,audio_speech_emotion/Actor_01/03-01-04-01-01-02-01.wav
male-sad,audio_speech_emotion/Actor_01/03-01-04-01-02-01-01.wav
male-sad,audio_speech_emotion/Actor_01/03-01-04-01-02-02-01.wav
male-sad,audio_speech_emotion/Actor_01/03-01-04-02-01-01-01.wav
male-sad,audio_speech_emotion/Actor_01/03-01-04-02-01-02-01.wav
male-sad,audio_speech_emotion/Actor_01/03-01-04-02-02-01-01.wav
male-sad,audio_speech_emotion/Actor_01/03-01-04-02-02-02-01.wav
male-angry,audio_speech_emotion/Actor_01/03-01-05-01-01-01-01.wav
male-angry,audio_speech_emotion/Actor_01/03-01-05-01-01-02-01.wav
male-angry,audio_speech_emotion/Actor_01/03-01-05-01-02-01-01.wav
male-angry,audio_speech_emotion/Actor_01/03-01-05-01-02-02-01.wav
male-angry,audio_speech_emotion/Actor_01/03-01-05-02-01-01-01.wav
male-angry,audio_speech_emotion/Actor_01/03-01-05-02-01-02-01.wav
male-angry,audio_speech_emotion/Actor_01/03-01-05-02-02-01-01.wav
male-angry,audio_speech_emotion/Actor_01/03-01-05-02-02-02-01.wav
male-fear,audio_speech_emotion/Actor_01/03-01-06-01-01-01-01.wav
male-fear,audio_speech_emotion/Actor_01/03-01-06-01-01-02-01.wav
male-fear,audio_speech_emotion/Actor_01/03-01-06-01-02-01-01.wav
male-fear,audio_speech_emotion/Actor_01/03-01-06-01-02-02-01.wav
male-fear,audio_speech_emotion/Actor_01/03-01-06-02-01-01-01.wav
male-fear,audio_speech_emotion/Actor_01/03-01-06-02-01-02-01.wav
male-fear,audio_speech_emotion/Actor_01/03-01-06-02-02-01-01.wav
male-fear,audio_speech_emotion/Actor_01/03-01-06-02-02-02-01.wav
male-disgust,audio_speech_emotion/Actor_01/03-01-07-01-01-01-01.wav
male-disgust,audio_speech_emotion/Actor_01/03-01-07-01-01-02-01.wav
male-disgust,audio_speech_emotion/Actor_01/03-01-07-01-02-01-01.wav
male-disgust,audio_speech_emotion/Actor_01/03-01-07-01-02-02-01.wav
